Ground Distance, Angles
23044.970116,   -1.427263
23152.256308,   -1.437954
23259.586821,   -1.445555
23366.927962,   -1.452414
23474.311854,   -1.462354
23581.705997,   -1.473033
23689.143554,   -1.483716
23796.591521,   -1.494400
23904.083095,   -1.505080
24011.585125,   -1.515760
24119.130922,   -1.526429
24226.687214,   -1.537096
24334.287387,   -1.547752
24441.898081,   -1.558404
24549.552763,   -1.569043
24657.217991,   -1.579679
24764.927302,   -1.590301
24872.647183,   -1.600920
24980.410827,   -1.608531
25088.184963,   -1.615421
25196.001284,   -1.625512
25303.827720,   -1.636371
25411.697030,   -1.647333
25519.576619,   -1.658320
25627.499377,   -1.669392
25735.432485,   -1.680485
25843.409095,   -1.691644
25951.396136,   -1.702817
26059.427043,   -1.714034
26167.468467,   -1.725261
26275.554133,   -1.736506
26383.650408,   -1.747757
26491.791303,   -1.759003
26599.942897,   -1.770249
26708.139480,   -1.781468
26816.346849,   -1.792681
26924.599550,   -1.803847
27032.863120,   -1.815003
27141.172332,   -1.826095
27249.492488,   -1.837172
27357.858554,   -1.848172
27466.235628,   -1.859153
27574.658832,   -1.870048
27683.093097,   -1.880922
27791.573660,   -1.891704
27900.065323,   -1.902465
28008.603395,   -1.913132
28117.152595,   -1.923778
28225.747850,   -1.931302
28334.354147,   -1.938077
28443.004829,   -1.948024
28551.666154,   -1.958731
28660.372462,   -1.969480
28769.089555,   -1.980240
28877.851799,   -1.991037
28986.624868,   -2.001842
29095.443264,   -2.012677
29204.272529,   -2.023519
29313.147315,   -2.034383
29422.033016,   -2.045251
29530.964439,   -2.056133
29639.906824,   -2.067018
29748.895136,   -2.077906
29857.894461,   -2.088796
29966.939914,   -2.099681
30075.996428,   -2.110564
30185.099268,   -2.121436
30294.213215,   -2.132304
30403.373674,   -2.143152
30512.545285,   -2.153996
30621.763580,   -2.164815
30730.993068,   -2.175627
30840.269388,   -2.186410
30949.556938,   -2.197186
31058.891425,   -2.207932
31168.237167,   -2.218671
31277.629897,   -2.229383
31387.033894,   -2.240090
31496.484914,   -2.250775
31605.947210,   -2.261455
31715.456555,   -2.272119
31824.977180,   -2.282779
31934.544874,   -2.293430
32044.123853,   -2.304079
32153.749913,   -2.314724
32263.387262,   -2.325369
32373.071707,   -2.336017
32482.767444,   -2.346666
32592.510295,   -2.357325
32702.264442,   -2.367986
32812.065728,   -2.378662
32921.878315,   -2.389341
33031.738075,   -2.400040
33141.609145,   -2.410745
33251.527434,   -2.421472
33361.457044,   -2.432205
33471.433932,   -2.442965
33581.422156,   -2.453731
33691.457732,   -2.464525
33801.504662,   -2.475326
33911.599038,   -2.486154
34021.704790,   -2.496990
34131.858092,   -2.507853
34242.022794,   -2.518723
34352.235165,   -2.529618
34462.458964,   -2.540519
34572.730564,   -2.551444
34683.013624,   -2.562374
34793.344627,   -2.573324
34903.687124,   -2.584278
35014.077715,   -2.595248
35124.479838,   -2.606221
35234.930210,   -2.617206
35345.392152,   -2.628193
35455.902506,   -2.639186
35566.424467,   -2.650181
35676.995001,   -2.661178
35787.577182,   -2.672175
35898.208096,   -2.683169
36008.850694,   -2.694162
36119.542181,   -2.705148
36230.245390,   -2.716133
36340.997638,   -2.727107
36451.761643,   -2.738079
36562.574828,   -2.749037
36673.399805,   -2.759992
36784.274093,   -2.770931
36895.160205,   -2.781867
37006.095750,   -2.792786
37117.043148,   -2.803701
37228.040090,   -2.814599
37339.048911,   -2.825493
37450.107378,   -2.836370
37561.177747,   -2.847243
37672.297853,   -2.858101
37783.429884,   -2.868955
