eta, Cl
   0.000000,    1.169061
   0.020408,    1.177832
   0.040816,    1.194338
   0.061224,    1.209675
   0.081633,    1.224083
   0.102041,    1.237719
   0.122449,    1.250698
   0.142857,    1.263111
   0.163265,    1.275033
   0.183673,    1.286531
   0.204082,    1.297665
   0.224490,    1.308495
   0.244898,    1.319085
   0.265306,    1.329514
   0.285714,    1.339450
   0.306122,    1.346577
   0.326531,    1.348596
   0.346939,    1.349325
   0.367347,    1.349704
   0.387755,    1.349710
   0.408163,    1.349335
   0.428571,    1.348572
   0.448980,    1.347417
   0.469388,    1.345864
   0.489796,    1.343902
   0.510204,    1.341514
   0.530612,    1.338681
   0.551020,    1.335382
   0.571429,    1.331585
   0.591837,    1.327250
   0.612245,    1.322325
   0.632653,    1.316745
   0.653061,    1.310430
   0.673469,    1.303278
   0.693878,    1.295161
   0.714286,    1.285916
   0.734694,    1.275335
   0.755102,    1.263150
   0.775510,    1.249011
   0.795918,    1.232453
   0.816327,    1.212853
   0.836735,    1.189353
   0.857143,    1.160750
   0.877551,    1.125303
   0.897959,    1.080400
   0.918367,    1.021928
   0.938776,    0.942941
   0.959184,    0.830339
   0.979592,    0.653454
   1.000000,    0.000000
