eta, Cl
   0.000000,    1.350000
   0.020408,    1.350000
   0.040816,    1.350000
   0.061224,    1.350000
   0.081633,    1.350000
   0.102041,    1.350000
   0.122449,    1.350000
   0.142857,    1.350000
   0.163265,    1.350000
   0.183673,    1.350000
   0.204082,    1.350000
   0.224490,    1.350000
   0.244898,    1.350000
   0.265306,    1.350000
   0.285714,    1.350000
   0.306122,    1.350000
   0.326531,    1.350000
   0.346939,    1.350000
   0.367347,    1.350000
   0.387755,    1.350000
   0.408163,    1.350000
   0.428571,    1.350000
   0.448980,    1.350000
   0.469388,    1.350000
   0.489796,    1.350000
   0.510204,    1.350000
   0.530612,    1.350000
   0.551020,    1.350000
   0.571429,    1.350000
   0.591837,    1.350000
   0.612245,    1.350000
   0.632653,    1.350000
   0.653061,    1.350000
   0.673469,    1.350000
   0.693878,    1.350000
   0.714286,    1.350000
   0.734694,    1.350000
   0.755102,    1.350000
   0.775510,    1.350000
   0.795918,    1.350000
   0.816327,    1.350000
   0.836735,    1.350000
   0.857143,    1.350000
   0.877551,    1.350000
   0.897959,    1.350000
   0.918367,    1.350000
   0.938776,    1.350000
   0.959184,    1.350000
   0.979592,    1.350000
   1.000000,    1.350000
