Time, Aircraft mass
   0.000000, 20798.430875
   0.001667, 20798.397657
   0.003333, 20798.364389
   0.005000, 20798.331119
   0.006667, 20798.297849
   0.008333, 20798.264579
   0.010000, 20798.231309
   0.011667, 20798.198038
   0.013333, 20798.164768
   0.015000, 20798.131498
   0.016667, 20798.098228
   0.018333, 20798.064958
   0.020000, 20798.031663
   0.021667, 20797.998364
   0.023333, 20797.965066
   0.025000, 20797.931768
   0.026667, 20797.898470
   0.028333, 20797.865171
   0.030000, 20797.831873
   0.031667, 20797.798575
   0.033333, 20797.765277
   0.035000, 20797.731978
   0.036667, 20797.698663
   0.038333, 20797.665345
   0.040000, 20797.632027
   0.041667, 20797.598709
   0.043333, 20797.565391
   0.045000, 20797.532074
   0.046667, 20797.498756
   0.048333, 20797.465438
   0.050000, 20797.432120
   0.051667, 20797.398802
   0.053333, 20797.365475
   0.055000, 20797.332145
   0.056667, 20797.298816
   0.058333, 20797.265487
   0.060000, 20797.232158
   0.061667, 20797.198829
   0.063333, 20797.165500
   0.065000, 20797.132170
   0.066667, 20797.098841
   0.068333, 20797.065512
   0.070000, 20797.032180
   0.071667, 20796.998847
   0.073333, 20796.965515
   0.075000, 20796.932182
   0.076667, 20796.898849
   0.078333, 20796.865517
   0.080000, 20796.832184
   0.081667, 20796.798852
   0.083333, 20796.765519
   0.085000, 20796.732186
   0.086667, 20796.698841
   0.088333, 20796.665494
   0.090000, 20796.632147
   0.091667, 20796.598801
   0.093333, 20796.565454
   0.095000, 20796.532107
   0.096667, 20796.498760
   0.098333, 20796.465413
   0.100000, 20796.432066
   0.101667, 20796.398720
   0.103333, 20796.365338
   0.105000, 20796.331952
   0.106667, 20796.298565
   0.108333, 20796.265179
   0.110000, 20796.231793
   0.111667, 20796.198407
   0.113333, 20796.165020
   0.115000, 20796.131634
   0.116667, 20796.098248
   0.118333, 20796.064862
   0.120000, 20796.031455
   0.121667, 20795.998046
   0.123333, 20795.964637
   0.125000, 20795.931228
   0.126667, 20795.897819
   0.128333, 20795.864410
   0.130000, 20795.831001
   0.131667, 20795.797592
   0.133333, 20795.764183
   0.135000, 20795.730774
   0.136667, 20795.697360
   0.138333, 20795.663945
   0.140000, 20795.630530
   0.141667, 20795.597114
   0.143333, 20795.563699
   0.145000, 20795.530284
   0.146667, 20795.496869
   0.148333, 20795.463454
   0.150000, 20795.430039
   0.151667, 20795.396623
   0.153333, 20795.363217
   0.155000, 20795.329811
   0.156667, 20795.296405
   0.158333, 20795.263000
   0.160000, 20795.229594
   0.161667, 20795.196188
   0.163333, 20795.162782
   0.165000, 20795.129377
   0.166667, 20795.095971
   0.168333, 20795.062565
   0.170000, 20795.029181
   0.171667, 20794.995799
   0.173333, 20794.962418
   0.175000, 20794.929036
   0.176667, 20794.895654
   0.178333, 20794.862273
   0.180000, 20794.828891
   0.181667, 20794.795509
   0.183333, 20794.762128
   0.185000, 20794.728746
   0.186667, 20794.695340
   0.188333, 20794.661931
   0.190000, 20794.628522
   0.191667, 20794.595113
   0.193333, 20794.561704
   0.195000, 20794.528295
   0.196667, 20794.494886
   0.198333, 20794.461477
   0.200000, 20794.428068
   0.201667, 20794.394659
   0.203333, 20794.361185
   0.205000, 20794.327702
   0.206667, 20794.294219
   0.208333, 20794.260736
   0.210000, 20794.227253
   0.211667, 20794.193770
   0.213333, 20794.160287
   0.215000, 20794.126804
   0.216667, 20794.093321
   0.218333, 20794.059838
   0.220000, 20794.026319
   0.221667, 20793.992796
   0.223333, 20793.959273
   0.225000, 20793.925749
   0.226667, 20793.892226
   0.228333, 20793.858703
   0.230000, 20793.825179
   0.231667, 20793.791656
   0.233333, 20793.758133
   0.235000, 20793.724609
   0.236667, 20793.691078
   0.238333, 20793.657545
   0.240000, 20793.624012
   0.241667, 20793.590480
   0.243333, 20793.556947
   0.245000, 20793.523415
   0.246667, 20793.489882
   0.248333, 20793.456349
   0.250000, 20793.422817
   0.251667, 20793.389284
   0.253333, 20793.355769
   0.255000, 20793.322255
   0.256667, 20793.288742
   0.258333, 20793.255229
   0.260000, 20793.221715
   0.261667, 20793.188202
   0.263333, 20793.154688
   0.265000, 20793.121175
   0.266667, 20793.087662
   0.268333, 20793.054148
