CD, CL
   0.023854,   -6.622119
   0.022998,   -6.468177
   0.022233,   -6.327496
   0.021529,   -6.195142
   0.020843,   -6.063299
   0.020172,   -5.931738
   0.019518,   -5.800710
   0.018880,   -5.669939
   0.018259,   -5.539723
   0.017653,   -5.409739
   0.017065,   -5.280330
   0.016491,   -5.151128
   0.015933,   -5.022523
   0.015390,   -4.894099
   0.014864,   -4.766291
   0.014353,   -4.638641
   0.013857,   -4.511626
   0.013376,   -4.384744
   0.012910,   -4.258514
   0.012459,   -4.132394
   0.012024,   -4.006944
   0.011601,   -3.881579
   0.011195,   -3.756902
   0.010801,   -3.632286
   0.010424,   -3.508373
   0.010059,   -3.384498
   0.009709,   -3.261341
   0.009374,   -3.138206
   0.009055,   -3.015791
   0.008748,   -2.893403
   0.008456,   -2.771704
   0.008176,   -2.650054
   0.007912,   -2.529063
   0.007660,   -2.408140
   0.007422,   -2.287847
   0.007196,   -2.167642
   0.006982,   -2.048036
   0.006780,   -1.928538
   0.006590,   -1.809609
   0.006393,   -1.677418
