Cl, Efficiency
  -0.774252,   -8.010041
  -0.672438,   -8.031701
  -0.570779,   -7.927631
  -0.469274,   -7.626813
  -0.367922,   -7.029146
  -0.266709,   -5.972062
  -0.165642,   -4.311162
  -0.064728,   -1.929586
   0.036385,    1.211101
   0.137066,    4.908765
   0.237597,    8.714219
   0.337990,   11.978331
   0.438237,   14.284539
   0.538332,   15.559716
   0.638276,   15.958853
   0.738069,   15.751792
   0.837723,   15.127708
   0.937237,   14.303921
   1.036605,   13.416761
   1.135824,   12.545673
   1.234895,   11.720362
   1.333680,   10.947391
   1.426672,   10.187310
   1.503856,    9.400992
   1.559464,    8.582780
   1.592547,    7.740190
   1.606937,    6.969959
