Cl, Efficiency
  -0.803589,   -8.313543
  -0.697917,   -8.336017
  -0.592404,   -8.227981
  -0.487051,   -7.915736
  -0.381858,   -7.295405
  -0.276813,   -6.198298
  -0.171921,   -4.474579
  -0.067191,   -2.003005
   0.037742,    1.256261
   0.142221,    5.093977
   0.246541,    9.048330
   0.350712,   12.444005
   0.454725,   14.844447
   0.558576,   16.171459
   0.662263,   16.593189
   0.765786,   16.381884
   0.869158,   15.734381
   0.972378,   14.877575
   1.075440,   13.957390
   1.178339,   13.052461
   1.281078,   12.194083
   1.383511,   11.390429
   1.479933,   10.601524
   1.559968,    9.783984
   1.617648,    8.940335
   1.652001,    8.095043
   1.667013,    7.282715
   1.671595,    6.541203
   1.678899,    6.068427
   1.707102,    5.944347
   1.780426,    5.993665
