Cl, Efficiency
  -0.803648,   -8.314156
  -0.697968,   -8.336631
  -0.592448,   -8.228587
  -0.487087,   -7.916319
  -0.381886,   -7.295942
  -0.276834,   -6.198755
  -0.171934,   -4.474909
  -0.067196,   -2.003154
   0.037745,    1.256351
   0.142232,    5.094350
   0.246559,    9.048992
   0.350738,   12.444916
   0.454759,   14.845578
   0.558617,   16.172696
   0.662311,   16.594459
   0.765841,   16.383136
   0.869222,   15.735580
   0.972449,   14.878706
   1.075518,   13.958448
   1.178425,   13.053447
   1.281171,   12.195001
   1.383611,   11.391284
   1.480041,   10.602317
   1.560081,    9.784735
   1.617765,    8.941018
   1.652122,    8.095659
   1.667135,    7.283268
   1.671717,    6.541709
   1.679021,    6.068911
   1.707227,    5.944819
   1.780556,    5.994333
