Cl, Efficiency
  -0.774355,   -8.011112
  -0.672528,   -8.032774
  -0.570855,   -7.928690
  -0.469336,   -7.627832
  -0.367971,   -7.030084
  -0.266745,   -5.972860
  -0.165664,   -4.311738
  -0.064736,   -1.929844
   0.036390,    1.211261
   0.137084,    4.909426
   0.237629,    8.715404
   0.338035,   11.979975
   0.438295,   14.286511
   0.538404,   15.561870
   0.638361,   15.961161
   0.738167,   15.754067
   0.837834,   15.129884
   0.937361,   14.305967
   1.036742,   13.418752
   1.135974,   12.547520
   1.235058,   11.722074
   1.333856,   10.949071
   1.426860,   10.188857
   1.504053,    9.402404
   1.559669,    8.584505
   1.592756,    7.741909
   1.607149,    6.970877
