alpha body, Efficiency
  -0.779101,   -8.054996
  -0.686092,   -8.093512
  -0.593184,   -8.028661
  -0.500370,   -7.788586
  -0.407662,   -7.323539
  -0.315065,   -6.553642
  -0.222575,   -5.350149
  -0.130179,   -3.569532
  -0.037890,   -1.166982
   0.054651,    1.851182
   0.146785,    5.290263
   0.238823,    8.730460
   0.330753,   11.748250
   0.422570,   14.046472
   0.514280,   15.475912
   0.605893,   16.033812
   0.697398,   16.002493
   0.788791,   15.600377
   0.880077,   14.961493
   0.971266,   14.177372
   1.062348,   13.368473
   1.153318,   12.581726
   1.244186,   11.824247
   1.334888,   11.103273
   1.421611,   10.411274
   1.496403,    9.706666
   1.554067,    8.971580
   1.592720,    8.219810
   1.613772,    7.478263
