Cl, Efficiency
  -0.822879,   -8.511429
  -0.714670,   -8.534798
  -0.606623,   -8.424622
  -0.498740,   -8.105443
  -0.391022,   -7.470482
  -0.283457,   -6.347059
  -0.176050,   -4.582033
  -0.068810,   -2.051281
   0.038634,    1.285955
   0.145611,    5.215398
   0.252422,    9.264168
   0.359077,   12.740816
   0.465567,   15.199659
   0.571887,   16.560440
   0.678035,   16.993752
   0.784010,   16.778202
   0.889828,   16.115401
   0.995485,   15.237889
   1.100976,   14.295270
   1.206295,   13.368181
   1.311445,   12.488733
   1.416277,   11.665335
   1.514955,   10.857144
   1.596864,   10.020210
   1.655906,    9.157046
   1.691096,    8.292233
   1.706517,    7.461007
   1.711291,    6.702850
   1.718811,    6.219593
   1.747608,    6.094577
   1.822497,    6.164418
