Cl, Efficiency
  -0.823721,   -8.514388
  -0.725253,   -8.553868
  -0.626914,   -8.483998
  -0.528696,   -8.228828
  -0.430612,   -7.735784
  -0.332672,   -6.919868
  -0.234867,   -5.645613
  -0.137184,   -3.761605
  -0.039639,   -1.220832
   0.058148,    1.969609
   0.155478,    5.604135
   0.252683,    9.242177
   0.349750,   12.434902
   0.446670,   14.866850
   0.543451,   16.378963
   0.640107,   16.967671
   0.736622,   16.936272
   0.832992,   16.511135
   0.929223,   15.833943
   1.025328,   15.002144
   1.121293,   14.143769
   1.217113,   13.310414
   1.312799,   12.508099
   1.408288,   11.744027
   1.499562,   11.010585
   1.578264,   10.264465
   1.638946,    9.488153
   1.679656,    8.694319
   1.701899,    7.914980
   1.710637,    7.180779
   1.714209,    6.537364
   1.723577,    6.189336
   1.753945,    6.098790
   1.824403,    6.171246
