Cl, Efficiency
  -0.823040,   -8.513063
  -0.714810,   -8.536437
  -0.606742,   -8.426241
  -0.498838,   -8.107001
  -0.391099,   -7.471952
  -0.283512,   -6.348308
  -0.176084,   -4.582935
  -0.068824,   -2.051687
   0.038642,    1.286203
   0.145640,    5.216417
   0.252471,    9.265979
   0.359147,   12.743307
   0.465658,   15.202630
   0.571999,   16.563675
   0.678167,   16.997070
   0.784163,   16.781476
   0.890002,   16.118544
   0.995679,   15.240859
   1.101190,   14.298053
   1.206530,   13.370782
   1.311700,   12.491161
   1.416552,   11.667601
   1.515249,   10.859251
   1.597174,   10.022154
   1.656228,    9.158823
   1.691424,    8.293842
   1.706848,    7.462487
   1.711625,    6.704180
   1.719146,    6.220849
   1.747948,    6.095804
   1.822851,    6.165680
