Cl, Efficiency
  -0.804088,   -8.313329
  -0.707968,   -8.351571
  -0.611974,   -8.282980
  -0.516097,   -8.033390
  -0.420351,   -7.551511
  -0.324745,   -6.754982
  -0.229269,   -5.511063
  -0.133911,   -3.671866
  -0.038686,   -1.191483
   0.056777,    1.923188
   0.151797,    5.471466
   0.246698,    9.023251
   0.341466,   12.140367
   0.436094,   14.514373
   0.530589,   15.988778
   0.624965,   16.562044
   0.719207,   16.530455
   0.813311,   16.114973
   0.907283,   15.453813
   1.001136,   14.641996
   1.094855,   13.804371
   1.188438,   12.991232
   1.281893,   12.208419
   1.375159,   11.462936
   1.464312,   10.747281
   1.541184,   10.019066
   1.600449,    9.260600
   1.640191,    8.484956
   1.661877,    7.723338
   1.670349,    7.006032
   1.673759,    6.376877
   1.682893,    6.036239
   1.712624,    5.946052
   1.781584,    5.999665
