OEW (kg), TOTAL GWP (kg)
12715.785023, 5421.326934
12715.635816, 5422.096386
12715.947427, 5421.070355
12715.851960, 5421.321579
12716.390408, 5420.573411
12715.883432, 5421.286905
12715.749283, 5421.433351
12714.903763, 5422.972485
12714.856306, 5423.084786
12711.954896, 5431.397725
12715.906417, 5421.219877
12713.884137, 5425.431343
12713.871158, 5425.454730
12713.830051, 5425.565890
12716.434865, 5420.483200
12716.249727, 5420.649429
12715.033143, 5422.769232
12713.976089, 5425.061169
12714.459248, 5423.862528
12717.071762, 5419.847970
12712.548076, 5429.948676
12712.557789, 5429.930952
12713.909029, 5425.173115
12713.854245, 5425.479233
12715.300241, 5422.258393
12716.532919, 5420.287974
12712.637089, 5429.477641
12711.376498, 5433.854960
12713.753907, 5425.606359
12715.205291, 5422.412772
12712.979664, 5428.151481
12715.280754, 5422.320165
12713.803356, 5425.483970
12715.167503, 5422.541030
12720.578976, 5417.692390
12712.477048, 5430.481931
12713.272795, 5427.003780
12720.442172, 5417.731968
12713.370311, 5426.654507
12711.386809, 5433.838442
12711.392648, 5433.729533
12712.502530, 5430.436547
12713.222282, 5427.529411
12711.246897, 5434.325756
12717.740019, 5419.046947
12711.459615, 5433.438177
12711.902079, 5431.859269
12714.291371, 5424.251086
12714.055386, 5424.795709
12711.312855, 5434.286960
12719.696369, 5417.873937
12712.027182, 5431.222874
12712.599750, 5429.874246
12717.593809, 5419.137349
12719.909146, 5417.759897
12717.481701, 5419.196559
12713.467154, 5426.443596
12715.156791, 5422.734646
12713.559233, 5426.083398
12717.116900, 5419.576204
12711.148759, 5437.197730
12711.412290, 5433.662567
12715.678855, 5421.828812
12717.312363, 5419.371039
12711.794522, 5432.186831
12720.888734, 5417.676470
12711.159165, 5437.035440
12716.993910, 5419.899170
12712.604025, 5429.864733
12711.217913, 5436.863350
12714.517879, 5423.751931
12712.005815, 5431.286110
12717.093257, 5419.600194
12711.465375, 5433.414184
12713.117952, 5427.484092
12711.518855, 5433.204567
12711.405387, 5433.698921
12714.165103, 5424.512969
12711.820635, 5431.888382
12715.667702, 5422.216758
12712.162199, 5430.890729
12712.768582, 5428.749278
12711.432289, 5433.561737
12713.121179, 5427.436247
12713.933702, 5425.121904
12712.830382, 5428.539292
12711.222124, 5436.854015
12711.134919, 5437.246004
12714.725557, 5423.314426
12721.660775, 5417.658776
12714.201548, 5424.430963
12714.325735, 5424.139056
12717.371790, 5419.307314
12714.215235, 5424.416524
12714.704170, 5423.365849
12712.712591, 5428.974670
12715.619430, 5422.226567
12713.063350, 5428.097332
12711.121009, 5437.547307
12714.307741, 5424.188772
12711.441161, 5433.549954
12712.494470, 5430.140120
12714.534649, 5423.728991
12714.088689, 5424.696074
12714.379322, 5424.066538
12714.126058, 5424.616648
12717.576393, 5419.117625
12717.949832, 5418.773984
12714.414061, 5423.942336
12711.663849, 5432.921273
12721.245928, 5417.610955
12718.078321, 5418.788357
12715.669131, 5422.053209
12712.210598, 5430.565015
12714.078303, 5424.787292
12713.543230, 5426.279851
12714.468884, 5423.861613
12717.846312, 5418.865691
12712.242825, 5430.323248
12713.421622, 5426.545655
12711.508314, 5433.228654
12719.309252, 5418.239257
12710.709374, 5440.255165
12718.674475, 5418.395953
12714.358217, 5424.070488
12712.879733, 5428.156801
12720.280662, 5417.746093
12712.674476, 5429.079827
12714.047521, 5424.832393
12721.092532, 5417.607144
12711.560250, 5433.061379
12712.519803, 5430.088008
12718.704903, 5418.387973
12719.603182, 5418.236306
12718.466048, 5418.416148
12711.115161, 5437.559208
12710.616616, 5440.632959
12714.166052, 5424.530362
12711.718171, 5432.640596
12711.728876, 5432.351179
12713.611312, 5425.944280
12713.867745, 5425.408897
12710.717685, 5438.784510
12710.691678, 5440.304053
12711.089035, 5437.870705
12711.094387, 5437.738128
