OEW (kg), TOTAL GWP (kg)
12711.787873, 5432.313548
12717.683889, 5419.238921
12720.739232, 5417.709701
12717.150533, 5419.715718
12716.814583, 5420.205133
12715.670907, 5421.863751
12716.905214, 5420.122671
12710.908866, 5436.070633
12712.958652, 5427.910426
12719.804629, 5417.873626
12712.942827, 5428.601142
12715.070027, 5422.610637
12719.177485, 5418.420602
12716.344587, 5420.776275
12713.920492, 5425.309839
12714.822798, 5423.310485
12711.441663, 5433.776269
12719.198316, 5418.034104
12712.031696, 5431.128110
12710.780939, 5437.069680
12711.179365, 5435.329971
12716.883498, 5420.248507
12717.219466, 5419.596349
12712.702237, 5428.843856
12714.278195, 5424.343248
12711.364828, 5434.283420
12714.355662, 5424.270667
12712.915421, 5428.339360
12712.240421, 5430.558769
12714.193416, 5424.725200
12711.321999, 5434.421259
12716.534745, 5420.718917
12712.831993, 5428.541375
12720.024821, 5417.769357
12712.642028, 5429.127831
12712.025716, 5431.286190
12714.657917, 5423.806180
12714.517236, 5423.913738
12712.525404, 5429.467174
12713.454519, 5426.503066
12719.002318, 5418.310041
12714.391159, 5424.054293
12720.944151, 5417.654960
12710.822305, 5436.825383
12711.427397, 5434.101235
12718.916154, 5418.379012
12712.558110, 5429.337377
12719.600101, 5417.923135
12713.754655, 5425.766968
12713.300381, 5427.058386
12714.158558, 5424.815186
12718.256396, 5418.583045
12713.094058, 5427.657680
12712.546665, 5429.433635
12718.519622, 5418.567166
12714.224687, 5424.449949
12713.217126, 5427.258214
12711.764817, 5432.422693
12711.253729, 5435.373502
12711.661540, 5432.997370
12713.670815, 5425.983212
12714.070221, 5425.002231
12713.348359, 5426.950220
12712.901038, 5428.447291
12713.817147, 5425.623283
12712.596372, 5429.300208
12715.989667, 5421.318539
12712.808915, 5428.648594
12716.572677, 5420.354351
12715.570012, 5421.911057
12713.825730, 5425.566311
12712.097521, 5431.100002
12720.566748, 5417.850412
12712.117500, 5430.903188
12711.977873, 5431.869450
12716.065095, 5421.086725
12713.125557, 5427.325300
12712.458241, 5429.784811
12717.518522, 5419.276068
12711.734066, 5433.020485
12716.007771, 5421.226153
12714.265617, 5424.427262
12717.810150, 5419.288264
12712.810414, 5428.609485
12715.200647, 5422.489901
12712.635736, 5429.152456
12718.605758, 5418.439198
12717.866956, 5419.034962
12711.287451, 5434.640124
12715.493103, 5422.128235
12711.885051, 5431.749731
12710.957919, 5435.899584
12713.375972, 5426.604563
12711.564170, 5433.108688
12717.351948, 5419.443017
12715.502375, 5421.937347
12714.144945, 5424.892707
12715.201273, 5422.534751
12715.356603, 5422.320332
12719.012458, 5418.275334
12712.973716, 5427.852165
12711.117981, 5435.559110
12713.514543, 5426.390007
12712.410138, 5429.814968
12716.226282, 5420.961576
12713.998502, 5425.024495
12715.787706, 5421.341737
12712.270769, 5430.184918
12718.041444, 5418.882829
12717.503810, 5419.337322
12710.773303, 5437.145102
12713.172858, 5427.300285
12711.503487, 5433.397454
12713.836075, 5425.328613
12714.416688, 5424.095921
12717.063660, 5420.000638
12716.716309, 5420.219475
12718.286306, 5418.543973
12714.725392, 5423.412317
12715.270523, 5422.403856
12718.615563, 5418.379547
12718.072241, 5418.791959
12714.933402, 5423.130825
12711.853499, 5432.042635
