eta, Cd
   0.000000, 1260.084738
   0.020408, 1259.466074
   0.040816, 1246.073131
   0.061224, 1230.481084
   0.081633, 1213.781133
   0.102041, 1196.368706
   0.122449, 1178.436558
   0.142857, 1160.375573
   0.163265, 1142.149109
   0.183673, 1123.602347
   0.204082, 1104.776673
   0.224490, 1085.706258
   0.244898, 1066.421518
   0.265306, 1046.952446
   0.285714, 1027.125367
   0.306122, 1010.638144
   0.326531, 1002.960974
   0.346939,  995.028993
   0.367347,  986.766465
   0.387755,  978.155226
   0.408163,  969.182426
   0.428571,  959.837411
   0.448980,  950.110270
   0.469388,  939.991675
   0.489796,  929.478073
   0.510204,  918.528860
   0.530612,  907.131929
   0.551020,  895.299591
   0.571429,  883.006461
   0.591837,  870.230957
   0.612245,  856.948786
   0.632653,  843.131322
   0.653061,  828.744151
   0.673469,  813.745324
   0.693878,  798.083125
   0.714286,  781.693122
   0.734694,  764.494226
   0.755102,  746.383324
   0.775510,  727.504888
   0.795918,  707.935898
   0.816327,  687.069328
   0.836735,  664.642269
   0.857143,  640.305196
   0.877551,  614.994739
   0.897959,  587.475056
   0.918367,  558.361100
   0.938776,  529.175220
   0.959184,  511.629552
   0.979592,  633.385149
   1.000000, -735.610729
