Ground Distance, Acceleration
   0.000000, 44046.016553
   6.087701, 43400.654219
  24.231001, 42749.231339
  54.248970, 42092.448427
  95.959182, 41430.964437
 149.177878, 40765.067486
 213.720117, 40095.464601
 289.399935, 39422.956648
 376.030524, 38748.093767
 473.424389, 38070.864037
 581.393488, 37392.666514
 699.749443, 36714.154208
 828.303762, 36036.018133
 966.868134, 35360.033489
1115.254802, 34686.839495
1273.276817, 34018.112232
1440.748392, 33353.417112
1617.484919, 32693.458828
1803.303043, 32035.863002
1892.083060, 31732.985761
2090.868905, 31583.994530
2220.079878, 31512.702949
2346.802302, 29732.488409
2454.703744, 26406.191770
2675.528204, 14171.156912
2900.445616, 6881.082848
2953.176401, 5482.912693
3176.770087,   -8.079057
3404.083343,   -5.683414
3631.394627,  -11.105638
3858.704235,   -2.380830
4086.012619,   -2.231003
4313.320484,    2.269599
4540.629240,   -5.840249
4767.938186,    3.503062
4995.247348,    0.811452
5222.556800,   -0.906966
5449.866603,   -2.181204
5677.176808,   -3.296559
5680.656626,   -3.128403
5817.281455,    4.500968
6044.591313,   -1.101968
6271.901335,   -5.112019
6499.211719,   11.606600
6726.522471,   11.523601
6953.833673,    5.076619
7181.145351,   -4.985239
7408.457537,   -4.663904
7635.770210,   -4.519724
7726.940060,    1.405828
7954.251981,   -3.967489
8181.562368,  -12.230442
8408.872181,   10.030965
8636.182939,    6.855872
8863.495073,   10.878556
9090.808671,    2.465715
9318.123293,   11.696177
9545.438605,    4.877190
9772.754477,    7.092845
10000.070794,    5.749302
10227.387531,    3.543999
10454.704703,    1.460446
10682.022329,   -0.434434
10909.340380,   -2.399674
11136.658782,   -3.471584
11363.977647,   -4.718571
11591.296877,   11.074310
11818.616634,    8.219435
12045.936905,    5.415438
12273.257619,    2.705091
12500.578794,    0.826497
12727.900444,   -1.332030
12955.222464,   -2.919843
13182.544856,   -4.225695
13409.867596,    3.364992
13637.190892,    9.901800
13864.514665,    6.420560
14091.838954,    3.959158
14319.163760,    1.645298
14546.489061,   -0.301978
14773.814828,   -2.211934
15001.140981,   -3.553384
15228.467543,   -4.336139
15455.794602,   11.146456
15683.122180,    8.093525
15910.450229,    5.184467
16137.778789,    2.994286
16365.107847,    0.675797
16592.437333,   -1.235424
16819.767259,   -2.404992
17047.097720,   -3.823109
17274.428607,   -2.017272
17501.760039,    9.870447
17729.092097,    7.134971
17956.424669,    4.191920
18183.757732,    1.967159
18411.091338,    0.215576
18638.425510,   -2.113437
18865.760116,   -4.073513
19093.095097,   -5.381785
19320.430437,   10.223996
19547.766201,    7.176405
19775.102232,  -10.857694
20002.437830,   -5.337846
20229.773069,    8.577467
20457.108712,    6.234969
20684.444775,    4.843790
20911.781282,    3.515136
21139.118238,    2.286046
21366.455598,    0.810680
21593.793302,   -0.379500
21821.131390,   -1.252113
22048.469922,   -2.255055
22275.808871,   -3.297477
22503.148208,   -3.999902
22730.487993,   -4.828795
22957.828177,   -3.184335
23185.168783,   10.394478
23412.509925,    8.549074
23639.851522,    6.338964
23867.193541,    4.348670
24094.535946,    2.409753
24321.878716,    0.733855
24549.221881,   -0.643065
24776.565488,   -1.889636
25003.909555,   -3.143127
25231.254054,   -4.223950
25458.598975,   -5.167003
25685.944299,   10.473282
25913.290017,    7.720850
26140.636165,    5.363280
26246.719160,   -4.215541
