Ground Distance, 
   0.000000,   15.240000
 243.393565,    2.484284
 253.934784,    1.962608
 264.476003,    1.502431
 275.017222,    1.103706
 285.558440,    0.766391
 296.099659,    0.490453
 306.640878,    0.275863
 317.182097,    0.122601
 327.723315,    0.030649
 338.264534,    0.000000
 339.063452,    0.000000
 347.040907,    0.000000
 402.113216,    0.000000
 413.005807,    0.000000
 423.858246,    0.000000
 434.670735,    0.000000
 445.443470,    0.000000
 447.593264,    0.000000
 447.644993,    0.000000
 447.682368,    0.000000
 447.700784,    0.000000
 447.712493,    0.000000
 447.716572,    0.000000
 447.718950,    0.000000
 447.719427,    0.000000
 447.719861,    0.000000
 447.724205,    0.000000
 447.767639,    0.000000
 448.201889,    0.000000
 452.534861,    0.000000
 483.997811,    0.000000
 491.450409,    0.000000
 499.799419,    0.000000
 535.322690,    0.000000
 568.667928,    0.000000
 598.542904,    0.000000
 625.040891,    0.000000
 648.360866,    0.000000
 668.725764,    0.000000
 686.361507,    0.000000
 690.583998,    0.000000
 691.284618,    0.000000
 692.111781,    0.000000
 700.111981,    0.000000
 705.021995,    0.000000
 708.463646,    0.000000
 709.624491,    0.000000
 710.659040,    0.000000
 720.361993,    0.000000
 723.013684,    0.000000
 725.199069,    0.000000
 726.404049,    0.000000
 727.090349,    0.000000
 727.434348,    0.000000
 727.773961,    0.000000
 731.046368,    0.000000
 739.461428,    0.000000
 745.855189,    0.000000
 747.244120,    0.000000
 748.335298,    0.000000
 751.144569,    0.000000
 751.423303,    0.000000
 751.510489,    0.000000
 751.542995,    0.000000
 751.544494,    0.000000
 751.544637,    0.000000
 751.544645,    0.000000
