CL_e, delta_e_eq
  -0.041906,    2.142673
   0.015101,    1.996804
   0.072130,    1.849826
   0.129181,    1.701693
   0.186255,    1.553374
   0.243350,    1.403893
   0.300467,    1.253102
   0.357605,    1.100940
   0.414765,    0.947340
   0.476727,    1.212150
   0.532721,    0.948930
   0.588735,    0.684106
   0.644770,    0.417624
   0.700825,    0.149430
   0.756900,   -0.120596
   0.812995,   -0.392872
   0.869110,   -0.667015
   0.925244,   -0.943084
   0.981397,   -1.221116
   1.037569,   -1.501171
   1.093760,   -1.785057
   1.149969,   -2.072830
   1.206197,   -2.362785
   1.262442,   -2.654949
   1.318705,   -2.949654
   1.374986,   -3.285730
   1.431283,   -3.846071
   1.487598,   -4.404527
   1.543929,   -4.961072
   1.599634,   -5.534889
