CL_e, delta_e_eq
  -0.039008,    2.454356
   0.014185,    1.982669
   0.067397,    1.511405
   0.120628,    1.042202
   0.173877,    0.571529
   0.227145,    0.099193
   0.280431,   -0.374588
   0.333736,   -0.849882
   0.387058,   -1.326761
   0.444861,   -1.413424
   0.497092,   -1.996607
   0.549340,   -2.584280
   0.601605,   -3.173819
   0.653887,   -3.765289
   0.706186,   -4.358800
   0.758501,   -4.954824
   0.810832,   -5.572011
   0.863179,   -6.193030
   0.915542,   -6.816383
   0.967920,   -7.442143
   1.020314,   -8.070900
   1.072721,   -8.736310
   1.125144,   -9.428825
   1.177580,  -10.124242
   1.230030,  -10.822988
   1.282494,  -11.571562
   1.334971,  -12.886054
   1.387461,  -14.229204
   1.439963,  -16.663780
   1.491878,  -23.098178
