alpha_b, z dist
  -4.000000,    3.653995
  -3.794872,    3.653995
  -3.589744,    3.653995
  -3.384615,    3.653995
  -3.179487,    3.653995
  -2.974359,    3.653995
  -2.769231,    3.653995
  -2.564103,    3.653995
  -2.358974,    3.653995
  -2.153846,    3.653995
  -1.948718,    3.653995
  -1.743590,    3.653995
  -1.538462,    3.653995
  -1.333333,    3.653995
  -1.128205,    3.653995
  -0.923077,    3.653995
  -0.717949,    3.653995
  -0.512821,    3.653995
  -0.307692,    3.653995
  -0.102564,    3.653995
   0.102564,    3.653995
   0.307692,    3.653995
   0.512821,    3.653995
   0.717949,    3.653995
   0.923077,    3.653995
   1.128205,    3.653995
   1.333333,    3.653995
   1.538462,    3.653995
   1.743590,    3.653995
   1.948718,    3.653995
   2.153846,    3.653995
   2.358974,    3.653995
   2.564103,    3.653995
   2.769231,    3.653995
   2.974359,    3.653995
   3.179487,    3.653995
   3.384615,    3.653995
   3.589744,    3.653995
   3.794872,    3.653995
   4.000000,    3.653995
