alpha body, Neutral Point
  -4.000000,    0.184667
  -3.172414,    0.181222
  -2.344828,    0.174384
  -1.517241,    0.167656
  -0.689655,    0.158730
   0.137931,    0.152313
   0.965517,    0.148229
   1.793103,    0.141769
   2.620690,    0.135437
   3.448276,    0.129226
   4.275862,    0.127659
   5.103448,    0.132865
   5.931034,    0.135628
   6.758621,    0.133754
   7.586207,    0.131019
   8.413793,    0.133988
   9.241379,    0.165366
  10.068966,    0.282805
  10.896552,    0.800543
  11.724138,   -4.017638
  12.551724,   -5.731691
  13.379310,   -1.694743
  14.206897, -171.164063
  15.034483, -170.187965
  15.862069,    0.581226
  16.689655,    0.342937
  17.517241,    0.259664
  18.344828,    0.216183
  19.172414,    0.188491
  20.000000,    0.177164
