alpha body, Neutral Point
  -4.000000,    0.198035
  -3.172414,    0.193647
  -2.344828,    0.184872
  -1.517241,    0.176107
  -0.689655,    0.164622
   0.137931,    0.155996
   0.965517,    0.150021
   1.793103,    0.141126
   2.620690,    0.132279
   3.448276,    0.123475
   4.275862,    0.120032
   5.103448,    0.124447
   5.931034,    0.125895
   6.758621,    0.121821
   7.586207,    0.116960
   8.413793,    0.119482
   9.241379,    0.156256
  10.068966,    0.295001
  10.896552,    0.897917
