CL_e, CD_e
   0.036762,    0.856119
   0.034892,    0.946913
   0.033463,    1.037867
   0.032459,    1.128980
   0.031917,    1.220250
   0.031814,    1.311803
   0.032179,    1.403374
   0.033009,    1.495101
   0.034314,    1.586983
   0.036112,    1.679017
   0.038396,    1.771206
   0.041196,    1.863546
   0.044519,    1.956039
   0.048383,    2.048682
   0.052793,    2.141217
   0.057754,    2.228458
   0.063309,    2.302369
   0.069513,    2.357662
   0.076442,    2.392017
   0.084206,    2.406099
   0.092905,    2.403574
   0.102540,    2.391126
   0.112407,    2.378491
   0.122368,    2.378445
   0.132034,    2.406821
   0.140926,    2.482520
   0.148653,    2.627512
   0.154916,    2.866844
   0.159555,    3.228649
   0.162578,    3.744155
