Thickness; AR; X_lew; Etaykink; OEW (kg); DOC (M$_year); Block fuel (kg); LTO_Nox (kg); LTO_CO (kg); LTO UHC (kg); TOTAL GWP (kg); 
18.610219335460;	10.616695431020;	10.799965829713;	32.102052946241;	12715.785023467353;	12.793411134940;	2095.524662547891;	1.260288113608;	0.094110903963;	0.006111581938;	5421.326934143113;	
18.626694046759;	10.616485124819;	10.799859639026;	31.763109325094;	12715.635816209162;	12.793661498160;	2095.762946980206;	1.260288800499;	0.094110773407;	0.006111581035;	5422.096386155132;	
18.606764501125;	10.618131362314;	10.799967452368;	32.072787771238;	12715.947426762863;	12.793402647942;	2095.433987887674;	1.260289174565;	0.094110874569;	0.006111585883;	5421.070355478590;	
18.610200045094;	10.616733452964;	10.799998522962;	31.914397450439;	12715.851959877130;	12.793414096774;	2095.516445476920;	1.260287924341;	0.094110798594;	0.006111577818;	5421.321578517938;	
18.611387620771;	10.626565183972;	10.799943224564;	32.171252759577;	12716.390407880976;	12.793663885055;	2095.237921922435;	1.260295411748;	0.094110937851;	0.006111616356;	5420.573411329939;	
18.610200045094;	10.617169560923;	10.799965829713;	31.914397450439;	12715.883432139297;	12.793425531871;	2095.503107534898;	1.260288316837;	0.094110798418;	0.006111579607;	5421.286905356167;	
18.609961735639;	10.616096324168;	10.799892463415;	32.142558948795;	12715.749282620316;	12.793424993234;	2095.562994212287;	1.260288694532;	0.094110930398;	0.006111585409;	5421.433350555163;	
18.616784423686;	10.604232844944;	10.799999523411;	32.064292388096;	12714.903762683894;	12.793358748617;	2096.112285180972;	1.260283272273;	0.094110934861;	0.006111560745;	5422.972485380725;	
18.616547637510;	10.603371194341;	10.799999968317;	32.064292388096;	12714.856305977030;	12.793358377266;	2096.152471586163;	1.260283271832;	0.094110937523;	0.006111560825;	5423.084786028548;	
18.708119217210;	10.578638388723;	10.799993034816;	32.064292388096;	12711.954895862014;	12.795084955323;	2098.945933023687;	1.260295147862;	0.094111376243;	0.006111628600;	5431.397725081478;	
18.624113474543;	10.622490133812;	10.799999523411;	32.105873396028;	12715.906416962485;	12.793635349074;	2095.463770278692;	1.260289659388;	0.094110935895;	0.006111589990;	5421.219877320595;	
18.677644090987;	10.604130885965;	10.799917444566;	32.052051019741;	12713.884136732588;	12.794116990351;	2096.905145053898;	1.260282229426;	0.094111117367;	0.006111561586;	5425.431342810264;	
18.678239909184;	10.604130885965;	10.799950928138;	32.052051019741;	12713.871158095542;	12.794123566001;	2096.912788364437;	1.260282142085;	0.094111118883;	0.006111561233;	5425.454729723927;	
18.680427524151;	10.604130885965;	10.799978013684;	32.064111119211;	12713.830051282515;	12.794160589268;	2096.949074047761;	1.260282329061;	0.094111133162;	0.006111562529;	5425.565889710150;	
18.614140415575;	10.627720946546;	10.799998411025;	32.081069521091;	12716.434865343432;	12.793677862116;	2095.200317905742;	1.260294693210;	0.094110889116;	0.006111611566;	5420.483200494904;	
18.609612170049;	10.623568183728;	10.799999959122;	32.054544825297;	12716.249726775140;	12.793526642812;	2095.272340597577;	1.260291863767;	0.094110863840;	0.006111597849;	5420.649429269048;	
18.609612170049;	10.604232844944;	10.799999904563;	32.064249114978;	12715.033143456738;	12.793307811166;	2096.046429287780;	1.260284416593;	0.094110915077;	0.006111565369;	5422.769232490612;	
18.649433994480;	10.598830256332;	10.799934894434;	32.244994820914;	12713.976089362440;	12.793786076215;	2096.817785173233;	1.260283125799;	0.094111167340;	0.006111567237;	5425.061169278208;	
18.642800599384;	10.604623847227;	10.799931087325;	32.136930690422;	12714.459247779616;	12.793636305616;	2096.400482321637;	1.260281799549;	0.094111054328;	0.006111557691;	5423.862527679908;	
18.606968350482;	10.635441610991;	10.799993221611;	32.133321685248;	12717.071761771589;	12.793900474826;	2094.960525417300;	1.260303877565;	0.094110902149;	0.006111653965;	5419.847970194467;	
18.654229368008;	10.573268690852;	10.799815681159;	32.064292388096;	12712.548075955172;	12.794413688954;	2098.503055313426;	1.260296014207;	0.094111239036;	0.006111628342;	5429.948676320103;	
18.653890082295;	10.573268690852;	10.799815681159;	32.052110175584;	12712.557788589951;	12.794407821848;	2098.496939794130;	1.260295965183;	0.094111230715;	0.006111627861;	5429.930951996549;	
18.647833687677;	10.596540494496;	10.799988537902;	32.065373637085;	12713.909028648770;	12.793707547717;	2096.858068486236;	1.260281088843;	0.094111060380;	0.006111554619;	5425.173114729322;	
18.678500887899;	10.603985480584;	10.799989100393;	32.051791819988;	12713.854245434844;	12.794123644169;	2096.921487492446;	1.260281980541;	0.094111119583;	0.006111560517;	5425.479233094489;	
18.612284790031;	10.610103425771;	10.799995052056;	32.237823944227;	12715.300241268626;	12.793417156535;	2095.861029177915;	1.260287141895;	0.094111009909;	0.006111580761;	5422.258392961037;	
18.605477871181;	10.626793338258;	10.799996164494;	32.068383981114;	12716.532919038278;	12.793582857368;	2095.140868677348;	1.260295105683;	0.094110858395;	0.006111612506;	5420.287974038132;	
18.653946918056;	10.575144643431;	10.799975409176;	32.050102166267;	12712.637088877489;	12.794314352066;	2098.342854083119;	1.260293358891;	0.094111211605;	0.006111615358;	5429.477640840652;	
18.708681327427;	10.567837022836;	10.799992947003;	32.102358481410;	12711.376498360221;	12.795533525679;	2099.788533007250;	1.260306078622;	0.094111492732;	0.006111682158;	5433.854959620967;	
18.647833687677;	10.593852704894;	10.799988537902;	32.065373637085;	12713.753906883498;	12.793739613228;	2097.010106408092;	1.260281722228;	0.094111074178;	0.006111557938;	5425.606358845145;	
18.617570627384;	10.610103425771;	10.799995052056;	32.237823944227;	12715.205290842438;	12.793456771077;	2095.911034258063;	1.260286350969;	0.094111024732;	0.006111577601;	5422.412771689246;	
18.708681327427;	10.597268865342;	10.799992597655;	32.102358481410;	12712.979664154322;	12.794748257465;	2097.814592267147;	1.260287481809;	0.094111286976;	0.006111590816;	5428.151480535581;	
18.612284790031;	10.609839891966;	10.799995052056;	32.256500546359;	12715.280754340790;	12.793428894369;	2095.882898224870;	1.260287460684;	0.094111022877;	0.006111582618;	5422.320165088316;	
18.647833687677;	10.594646040261;	10.799952639715;	32.065373637085;	12713.803356219750;	12.793733248007;	2096.966873858758;	1.260281674172;	0.094111070562;	0.006111557607;	5425.483969622091;	
18.636178871896;	10.613847979600;	10.799743078958;	32.119582837671;	12715.167502737200;	12.793641893501;	2095.930101019593;	1.260285305818;	0.094110999118;	0.006111572025;	5422.541029651637;	
