eta, Cd
   0.000000,    0.007675
   0.020408,    0.007697
   0.040816,    0.007751
   0.061224,    0.007806
   0.081633,    0.007862
   0.102041,    0.007922
   0.122449,    0.007985
   0.142857,    0.008047
   0.163265,    0.008109
   0.183673,    0.008170
   0.204082,    0.008230
   0.224490,    0.008290
   0.244898,    0.008349
   0.265306,    0.008407
   0.285714,    0.008464
   0.306122,    0.008521
   0.326531,    0.008582
   0.346939,    0.008642
   0.367347,    0.008701
   0.387755,    0.008759
   0.408163,    0.008815
   0.428571,    0.008869
   0.448980,    0.008921
   0.469388,    0.008972
   0.489796,    0.009020
   0.510204,    0.009066
   0.530612,    0.009109
   0.551020,    0.009148
   0.571429,    0.009184
   0.591837,    0.009216
   0.612245,    0.009245
   0.632653,    0.009269
   0.653061,    0.009287
   0.673469,    0.009296
   0.693878,    0.009296
   0.714286,    0.009285
   0.734694,    0.009261
   0.755102,    0.009223
   0.775510,    0.009170
   0.795918,    0.009098
   0.816327,    0.009002
   0.836735,    0.008875
   0.857143,    0.008711
   0.877551,    0.008503
   0.897959,    0.008260
   0.918367,    0.007946
   0.938776,    0.007580
   0.959184,    0.007141
   0.979592,    0.006762
   1.000000,    0.005515
