alpha body, Static Stability Margin
 -10.000000,   -0.146862
  -9.090909,   -0.141834
  -8.181818,   -0.131746
  -7.272727,   -0.124153
  -6.363636,   -0.111282
  -5.454545,   -0.098249
  -4.545455,   -0.092899
  -3.636364,   -0.087441
  -2.727273,   -0.052819
  -1.818182,   -0.074967
  -0.909091,   -0.125694
  -0.000000,   -0.118991
   0.909091,   -0.111823
   1.818182,   -0.104276
   2.727273,   -0.096786
   3.636364,   -0.088791
   4.545455,   -0.079779
   5.454545,   -0.070175
   6.363636,   -0.060088
   7.272727,   -0.049410
   8.181818,   -0.037949
   9.090909,   -0.025845
  10.000000,   -0.017516
  10.909091,   -0.027394
  11.818182,   -0.073256
  12.727273,   -0.197969
  13.636364,   -0.613934
  14.545455,   -2.461506
  15.454545,   -2.934969
