CLh_e, CDh_e
  -0.270409,    0.010678
  -0.238986,    0.009150
  -0.207051,    0.007944
  -0.174612,    0.006958
  -0.141670,    0.006189
  -0.107801,    0.005639
  -0.073894,    0.005299
  -0.039484,    0.005165
  -0.004577,    0.005241
   0.030833,    0.005518
   0.066747,    0.005995
   0.103165,    0.006684
   0.140089,    0.007614
   0.177520,    0.008771
   0.215462,    0.010160
   0.253562,    0.011799
   0.289178,    0.013807
   0.320257,    0.016408
   0.347068,    0.019864
   0.372395,    0.024378
   0.401734,    0.029987
   0.443545,    0.036570
   0.509498,    0.043739
   0.614706,    0.050810
   0.777866,    0.056826
