CLh_e, CDh_e
  -0.238353,    0.010678
  -0.230478,    0.009150
  -0.222150,    0.007944
  -0.213371,    0.006958
  -0.204135,    0.006235
  -0.194045,    0.005749
  -0.183913,    0.005472
  -0.173306,    0.005400
  -0.162222,    0.005536
  -0.150653,    0.005888
  -0.138589,    0.006481
  -0.126025,    0.007288
  -0.112956,    0.008339
  -0.099374,    0.009615
  -0.085271,    0.011123
  -0.070486,    0.012911
  -0.053815,    0.015114
  -0.034357,    0.017933
  -0.012300,    0.021608
   0.011265,    0.026347
   0.034560,    0.032441
   0.055405,    0.039603
   0.071516,    0.051699
   0.080806,    0.060289
