CL_e, delta_e_eq
  -0.779101,    3.664402
  -0.686092,    3.176888
  -0.593184,    2.674614
  -0.500370,    2.158864
  -0.407662,    1.627796
  -0.315065,    1.081077
  -0.222575,    0.519025
  -0.130179,   -0.056570
  -0.037890,   -0.634913
   0.054651,   -1.202350
   0.146785,   -1.816089
   0.238823,   -2.431450
   0.330753,   -3.049606
   0.422570,   -3.671207
   0.514280,   -4.296170
   0.605893,   -4.923081
   0.697398,   -5.558795
   0.788791,   -6.199473
   0.880077,   -6.844262
   0.971266,   -7.492189
   1.062348,   -8.144764
   1.153318,   -8.834726
   1.244186,   -9.542769
   1.334888,  -10.256025
   1.421611,  -10.983917
   1.496403,  -11.787407
   1.554067,  -12.833494
   1.592720,  -13.985049
   1.613772,  -16.178236
