CL_e, delta_e_eq
  -0.823040,   -2.670764
  -0.714810,   -2.352702
  -0.606742,   -2.058138
  -0.498838,   -1.787239
  -0.391099,   -1.540363
  -0.283512,   -1.315626
  -0.176084,   -1.113809
  -0.068824,   -0.919623
   0.038642,   -0.729020
   0.145640,   -0.589314
   0.252471,   -0.458412
   0.359147,   -0.334382
   0.465658,   -0.219162
   0.571999,   -0.113570
   0.678167,   -0.018195
   0.784163,    0.066510
   0.890002,    0.142510
   0.995679,    0.208760
   1.101190,    0.264386
   1.206530,    0.307962
   1.311700,    0.339684
   1.416552,    0.357936
   1.515249,    0.305644
   1.597174,    0.083582
   1.656228,   -0.409129
   1.691424,   -1.152183
   1.706848,   -2.411519
   1.711625,   -3.917929
   1.719146,   -5.633523
   1.747948,   -7.469477
   1.822851,   -9.157766
