CL_e, delta_e_eq
  -0.803589,    0.141113
  -0.697917,    0.089162
  -0.592404,    0.014199
  -0.487051,   -0.083835
  -0.381858,   -0.205069
  -0.276813,   -0.347578
  -0.171921,   -0.512225
  -0.067191,   -0.683650
   0.037742,   -0.859007
   0.142221,   -1.083275
   0.246541,   -1.315334
   0.350712,   -1.553272
   0.454725,   -1.799104
   0.558576,   -2.053568
   0.662263,   -2.317087
   0.765786,   -2.590069
   0.869158,   -2.870648
   0.972378,   -3.159836
   1.075440,   -3.458443
   1.178339,   -3.767830
   1.281078,   -4.087787
   1.383511,   -4.419468
   1.479933,   -4.800838
   1.559968,   -5.299357
   1.617648,   -5.997709
   1.652001,   -6.871272
   1.667013,   -8.203199
   1.671595,   -9.847085
   1.678899,  -11.738258
   1.707102,  -14.245331
   1.780426,  -23.618611
