CL_e, delta_e_eq
  -0.822879,   -2.647345
  -0.714670,   -2.332362
  -0.606623,   -2.040873
  -0.498740,   -1.773045
  -0.391022,   -1.529247
  -0.283457,   -1.307566
  -0.176050,   -1.108799
  -0.068810,   -0.917656
   0.038634,   -0.730099
   0.145611,   -0.593422
   0.252422,   -0.465542
   0.359077,   -0.344525
   0.465567,   -0.232310
   0.571887,   -0.129713
   0.678035,   -0.037324
   0.784010,    0.044405
   0.889828,    0.117438
   0.995485,    0.180731
   1.100976,    0.233409
   1.206295,    0.274049
   1.311445,    0.302845
   1.416277,    0.318185
   1.514955,    0.263156
   1.596864,    0.038818
   1.655906,   -0.455546
   1.691096,   -1.199597
   1.706517,   -2.459499
   1.711291,   -3.966068
   1.718811,   -5.682424
   1.747608,   -7.518746
   1.822497,   -9.212510
