CL_e, delta_e_eq
  -0.774355,    4.368208
  -0.672528,    3.760044
  -0.570855,    3.129538
  -0.469336,    2.476786
  -0.367971,    1.801805
  -0.266745,    1.107236
  -0.165664,    0.391853
  -0.064736,   -0.329026
   0.036390,   -1.054359
   0.137084,   -1.825796
   0.237629,   -2.604174
   0.338035,   -3.386945
   0.438295,   -4.175877
   0.538404,   -4.971619
   0.638361,   -5.781806
   0.738167,   -6.599958
   0.837834,   -7.424084
   0.937361,   -8.255149
   1.036742,   -9.145872
   1.135974,  -10.051487
   1.235058,  -10.966395
   1.333856,  -11.941392
   1.426860,  -13.097403
   1.504053,  -14.294243
   1.559669,  -16.962857
   1.592756,  -24.652154
   1.607149,  -25.000000
