CL_e, delta_e_eq
  -0.774252,    4.383175
  -0.672438,    3.773042
  -0.570779,    3.140569
  -0.469274,    2.485854
  -0.367922,    1.808913
  -0.266709,    1.112382
  -0.165642,    0.395050
  -0.064728,   -0.327774
   0.036385,   -1.055053
   0.137066,   -1.828429
   0.237597,   -2.608739
   0.337990,   -3.393436
   0.438237,   -4.184289
   0.538332,   -4.981946
   0.638276,   -5.794155
   0.738069,   -6.614226
   0.837723,   -7.440265
   0.937237,   -8.273238
   1.036605,   -9.167227
   1.135824,  -10.074864
   1.234895,  -10.991788
   1.333680,  -11.974931
   1.426672,  -13.133249
   1.503856,  -14.332007
   1.559464,  -17.090589
   1.592547,  -24.786653
   1.606937,  -25.000000
