CL_e, delta_e_eq
  -0.769030,    5.000000
  -0.668039,    4.409437
  -0.567175,    3.661910
  -0.466438,    2.896051
  -0.365828,    2.111804
  -0.265334,    1.311190
  -0.164960,    0.493607
  -0.064714,   -0.325837
   0.035752,   -1.146497
   0.135813,   -2.009615
   0.235749,   -2.876149
   0.335567,   -3.743955
   0.435262,   -4.614640
   0.534829,   -5.493283
   0.634267,   -6.379462
   0.733577,   -7.269978
   0.832770,   -8.163477
   0.931842,   -9.110618
   1.030790,  -10.074207
   1.129611,  -11.043917
   1.228306,  -12.098624
   1.326736,  -13.300822
   1.419412,  -14.519340
   1.496351,  -17.495215
   1.551792,  -25.000000
