CL_e, delta_e_eq
  -0.774693,    4.302181
  -0.682087,    3.756208
  -0.589604,    3.192468
  -0.497233,    2.612615
  -0.404988,    2.014485
  -0.312876,    1.397462
  -0.220888,    0.762766
  -0.129011,    0.112226
  -0.037259,   -0.543685
   0.054725,   -1.191687
   0.146286,   -1.888312
   0.237736,   -2.588686
   0.329062,   -3.294247
   0.420258,   -4.005707
   0.511331,   -4.722818
   0.602293,   -5.447948
   0.693132,   -6.181619
   0.783843,   -6.921837
   0.874433,   -7.668296
   0.964913,   -8.425701
   1.055270,   -9.235796
   1.145502,  -10.053867
   1.235617,  -10.879227
   1.325555,  -11.721763
   1.411532,  -12.755238
   1.485665,  -13.837687
   1.542807,  -14.983406
   1.581101,  -22.021925
   1.601952,  -25.000000
