CL_e, delta_e_eq
  -0.804088,    0.051668
  -0.707968,    0.014204
  -0.611974,   -0.041608
  -0.516097,   -0.114236
  -0.420351,   -0.205890
  -0.324745,   -0.317582
  -0.229269,   -0.448295
  -0.133911,   -0.595849
  -0.038686,   -0.749861
   0.056777,   -0.895175
   0.151797,   -1.091725
   0.246698,   -1.292676
   0.341466,   -1.500114
   0.436094,   -1.714907
   0.530589,   -1.936942
   0.624965,   -2.164177
   0.719207,   -2.398809
   0.813311,   -2.641488
   0.907283,   -2.891857
   1.001136,   -3.148574
   1.094855,   -3.413550
   1.188438,   -3.687587
   1.281893,   -3.969910
   1.375159,   -4.260558
   1.464312,   -4.584065
   1.541184,   -5.007967
   1.600449,   -5.574139
   1.640191,   -6.295609
   1.661877,   -7.255377
   1.670349,   -8.609300
   1.673759,  -10.170984
   1.682893,  -11.977785
   1.712624,  -14.260752
   1.781584,  -22.873023
