CL_e, delta_e_eq
  -0.823721,   -2.786420
  -0.725253,   -2.484335
  -0.626914,   -2.201019
  -0.528696,   -1.935020
  -0.430612,   -1.688581
  -0.332672,   -1.463007
  -0.234867,   -1.257125
  -0.137184,   -1.068751
  -0.039639,   -0.887559
   0.058148,   -0.697143
   0.155478,   -0.559871
   0.252683,   -0.427782
   0.349750,   -0.303054
   0.446670,   -0.186568
   0.543451,   -0.078076
   0.640107,    0.024367
   0.736622,    0.118441
   0.832992,    0.203437
   0.929223,    0.279745
   1.025328,    0.348806
   1.121293,    0.408575
   1.217113,    0.458182
   1.312799,    0.498495
   1.408288,    0.529325
   1.499562,    0.512714
   1.578264,    0.353715
   1.638946,   -0.001822
   1.679656,   -0.576163
   1.701899,   -1.445864
   1.710637,   -2.731037
   1.714209,   -4.158506
   1.723577,   -5.754348
   1.753945,   -7.413984
   1.824403,   -8.917300
