alpha_b, CL
  -4.000000,   -0.001463
  -3.794872,    0.023959
  -3.589744,    0.049179
  -3.384615,    0.074272
  -3.179487,    0.099358
  -2.974359,    0.124439
  -2.769231,    0.149512
  -2.564103,    0.174582
  -2.358974,    0.199642
  -2.153846,    0.224700
  -1.948718,    0.249748
  -1.743590,    0.274794
  -1.538462,    0.299830
  -1.333333,    0.324863
  -1.128205,    0.349887
  -0.923077,    0.374909
  -0.717949,    0.399921
  -0.512821,    0.424931
  -0.307692,    0.449932
  -0.102564,    0.474930
   0.102564,    0.499918
   0.307692,    0.524905
   0.512821,    0.549882
   0.717949,    0.574858
   0.923077,    0.599822
   1.128205,    0.624787
   1.333333,    0.649740
   1.538462,    0.674693
   1.743590,    0.699635
   1.948718,    0.724577
   2.153846,    0.749508
   2.358974,    0.774439
   2.564103,    0.799359
   2.769231,    0.824279
   2.974359,    0.849189
   3.179487,    0.874097
   3.384615,    0.898996
   3.589744,    0.923894
   3.794872,    0.948783
   4.000000,    0.973874
