alpha_b, CL
  -4.000000,   -0.045458
  -3.794872,   -0.020037
  -3.589744,    0.005183
  -3.384615,    0.030277
  -3.179487,    0.055362
  -2.974359,    0.080443
  -2.769231,    0.105517
  -2.564103,    0.130586
  -2.358974,    0.155647
  -2.153846,    0.180704
  -1.948718,    0.205752
  -1.743590,    0.230798
  -1.538462,    0.255834
  -1.333333,    0.280868
  -1.128205,    0.305892
  -0.923077,    0.330913
  -0.717949,    0.355926
  -0.512821,    0.380936
  -0.307692,    0.405936
  -0.102564,    0.430934
   0.102564,    0.455923
   0.307692,    0.480910
   0.512821,    0.505886
   0.717949,    0.530862
   0.923077,    0.555827
   1.128205,    0.580791
   1.333333,    0.605744
   1.538462,    0.630697
   1.743590,    0.655640
   1.948718,    0.680581
   2.153846,    0.705512
   2.358974,    0.730443
   2.564103,    0.755363
   2.769231,    0.780283
   2.974359,    0.805193
   3.179487,    0.830101
   3.384615,    0.855001
   3.589744,    0.879898
   3.794872,    0.904787
   4.000000,    0.929878
