alpha_b, CL
  -4.000000,   -0.039929
  -3.794872,   -0.014507
  -3.589744,    0.010712
  -3.384615,    0.035806
  -3.179487,    0.060891
  -2.974359,    0.085973
  -2.769231,    0.111046
  -2.564103,    0.136115
  -2.358974,    0.161176
  -2.153846,    0.186233
  -1.948718,    0.211282
  -1.743590,    0.236327
  -1.538462,    0.261363
  -1.333333,    0.286397
  -1.128205,    0.311421
  -0.923077,    0.336443
  -0.717949,    0.361455
  -0.512821,    0.386465
  -0.307692,    0.411465
  -0.102564,    0.436463
   0.102564,    0.461452
   0.307692,    0.486439
   0.512821,    0.511415
   0.717949,    0.536391
   0.923077,    0.561356
   1.128205,    0.586320
   1.333333,    0.611274
   1.538462,    0.636227
   1.743590,    0.661169
   1.948718,    0.686110
   2.153846,    0.711042
   2.358974,    0.735972
   2.564103,    0.760893
   2.769231,    0.785812
   2.974359,    0.810722
   3.179487,    0.835630
   3.384615,    0.860530
   3.589744,    0.885428
   3.794872,    0.910317
   4.000000,    0.935407
