alpha_b, CL
  -4.000000,   -0.053677
  -3.794872,   -0.028255
  -3.589744,   -0.003035
  -3.384615,    0.022058
  -3.179487,    0.047143
  -2.974359,    0.072225
  -2.769231,    0.097298
  -2.564103,    0.122367
  -2.358974,    0.147428
  -2.153846,    0.172485
  -1.948718,    0.197534
  -1.743590,    0.222579
  -1.538462,    0.247615
  -1.333333,    0.272649
  -1.128205,    0.297673
  -0.923077,    0.322695
  -0.717949,    0.347707
  -0.512821,    0.372717
  -0.307692,    0.397717
  -0.102564,    0.422716
   0.102564,    0.447704
   0.307692,    0.472691
   0.512821,    0.497667
   0.717949,    0.522643
   0.923077,    0.547608
   1.128205,    0.572572
   1.333333,    0.597526
   1.538462,    0.622479
   1.743590,    0.647421
   1.948718,    0.672363
   2.153846,    0.697294
   2.358974,    0.722224
   2.564103,    0.747145
   2.769231,    0.772064
   2.974359,    0.796974
   3.179487,    0.821882
   3.384615,    0.846782
   3.589744,    0.871680
   3.794872,    0.896569
   4.000000,    0.921660
