alpha_b, CL
  -4.000000,    0.094584
  -3.794872,    0.120006
  -3.589744,    0.145226
  -3.384615,    0.170319
  -3.179487,    0.195405
  -2.974359,    0.220486
  -2.769231,    0.245559
  -2.564103,    0.270629
  -2.358974,    0.295689
  -2.153846,    0.320747
  -1.948718,    0.345795
  -1.743590,    0.370840
  -1.538462,    0.395877
  -1.333333,    0.420910
  -1.128205,    0.445934
  -0.923077,    0.470956
  -0.717949,    0.495968
  -0.512821,    0.520978
  -0.307692,    0.545979
  -0.102564,    0.570977
   0.102564,    0.595965
   0.307692,    0.620952
   0.512821,    0.645929
   0.717949,    0.670904
   0.923077,    0.695869
   1.128205,    0.720834
   1.333333,    0.745787
   1.538462,    0.770740
   1.743590,    0.795682
   1.948718,    0.820624
   2.153846,    0.845555
   2.358974,    0.870486
   2.564103,    0.895406
   2.769231,    0.920326
   2.974359,    0.945235
   3.179487,    0.970144
   3.384615,    0.995043
   3.589744,    1.019941
   3.794872,    1.044830
   4.000000,    1.069921
