%Alpha[deg]   c[m]     y/(b/2)   Xle/Cr    Clstaz    Cl_bas    Cl_add    Ccl/cavg    Cmac2d
   3.00000   6.39000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000  -0.04000
   3.00000   6.34354   0.00505   0.00735   0.69691   0.00000   0.00000   1.40416  -0.04000
   3.00000   6.25064   0.01515   0.02205   0.70843   0.00000   0.00000   1.40645  -0.04000
   3.00000   6.15773   0.02525   0.03675   0.72146   0.00000   0.00000   1.41104  -0.04000
   3.00000   6.06482   0.03535   0.05144   0.73613   0.00000   0.00000   1.41800  -0.04000
   3.00000   5.97191   0.04545   0.06614   0.75261   0.00000   0.00000   1.42754  -0.04000
   3.00000   5.87900   0.05556   0.08084   0.77114   0.00000   0.00000   1.43994  -0.04000
   3.00000   5.78609   0.06566   0.09554   0.79206   0.00000   0.00000   1.45563  -0.04000
   3.00000   5.69318   0.07576   0.11024   0.81585   0.00000   0.00000   1.47527  -0.04000
   3.00000   5.60027   0.08586   0.12493   0.84323   0.00000   0.00000   1.49989  -0.04000
   3.00000   5.50736   0.09596   0.13963   0.87544   0.00000   0.00000   1.53135  -0.04000
   3.00000   5.41445   0.10606   0.15433   0.91516   0.00000   0.00000   1.57383  -0.04000
   3.00000   5.49140   0.11616   0.15939   0.94409   0.00000   0.00000   1.64666  -0.04000
   3.00000   5.50430   0.12626   0.16808   0.97454   0.00000   0.00000   1.70375  -0.04000
   3.00000   5.41139   0.13636   0.18278   1.01274   0.00000   0.00000   1.74065  -0.04000
   3.00000   5.31848   0.14646   0.19747   1.04680   0.00000   0.00000   1.76831  -0.04000
   3.00000   5.22557   0.15657   0.21217   1.07833   0.00000   0.00000   1.78975  -0.04000
   3.00000   5.13266   0.16667   0.22687   1.10809   0.00000   0.00000   1.80644  -0.04000
   3.00000   5.03976   0.17677   0.24157   1.13654   0.00000   0.00000   1.81928  -0.04000
   3.00000   4.94685   0.18687   0.25627   1.16398   0.00000   0.00000   1.82885  -0.04000
   3.00000   4.85394   0.19697   0.27097   1.19063   0.00000   0.00000   1.83559  -0.04000
   3.00000   4.76103   0.20707   0.28566   1.21666   0.00000   0.00000   1.83982  -0.04000
   3.00000   4.66812   0.21717   0.30036   1.24221   0.00000   0.00000   1.84180  -0.04000
   3.00000   4.57521   0.22727   0.31506   1.26738   0.00000   0.00000   1.84172  -0.04000
   3.00000   4.48230   0.23737   0.32976   1.29228   0.00000   0.00000   1.83977  -0.04000
   3.00000   4.38939   0.24747   0.34446   1.31698   0.00000   0.00000   1.83607  -0.04000
   3.00000   4.29648   0.25758   0.35916   1.34156   0.00000   0.00000   1.83075  -0.04000
   3.00000   4.20357   0.26768   0.37385   1.36608   0.00000   0.00000   1.82390  -0.04000
