CL_e, CD_e
   0.112648,    0.393779
   0.108046,    0.497195
   0.104107,    0.600411
   0.101015,    0.703434
   0.098597,    0.806248
   0.096923,    0.908852
   0.096082,    1.011248
   0.096226,    1.113445
   0.097209,    1.215793
   0.099023,    1.317630
   0.101714,    1.419249
   0.105308,    1.520648
   0.109733,    1.621819
   0.115080,    1.722765
   0.121475,    1.823495
   0.128887,    1.924004
   0.137242,    2.024283
   0.146590,    2.124334
   0.156907,    2.224154
   0.168225,    2.323744
   0.180551,    2.423101
   0.193965,    2.522233
   0.208509,    2.619859
   0.224157,    2.710967
   0.240906,    2.790915
   0.258744,    2.856375
   0.277694,    2.905333
   0.297791,    2.937074
   0.319131,    2.952174
   0.340808,    2.952393
   0.356766,    2.940253
