CL_e, CD_e
   0.112648,    0.393706
   0.108046,    0.497101
   0.104107,    0.600297
   0.101015,    0.703299
   0.098597,    0.806092
   0.096923,    0.908676
   0.096082,    1.011052
   0.096226,    1.113228
   0.097209,    1.215556
   0.099023,    1.317373
   0.101714,    1.418972
   0.105308,    1.520351
   0.109733,    1.621502
   0.115080,    1.722428
   0.121475,    1.823138
   0.128887,    1.923628
   0.137242,    2.023888
   0.146590,    2.123920
   0.156907,    2.223721
   0.168225,    2.323292
   0.180551,    2.422631
   0.193965,    2.521744
   0.208509,    2.619353
   0.224157,    2.710444
   0.240907,    2.790377
   0.258746,    2.855826
   0.277696,    2.904776
   0.297794,    2.936512
   0.319135,    2.951610
   0.340813,    2.951830
   0.356775,    2.939694
