CL_e, CD_e
   0.112548,    0.394046
   0.108312,    0.488147
   0.104754,    0.582092
   0.101772,    0.675870
   0.099307,    0.769473
   0.097451,    0.862905
   0.096445,    0.956179
   0.096137,    1.049280
   0.096463,    1.142203
   0.097438,    1.235322
   0.099127,    1.327950
   0.101598,    1.420402
   0.104867,    1.512676
   0.108871,    1.604766
   0.113611,    1.696668
   0.119078,    1.788381
   0.125358,    1.879908
   0.132529,    1.971256
   0.140515,    2.062417
   0.149260,    2.153383
   0.158815,    2.244157
   0.169219,    2.334743
   0.180554,    2.425145
   0.192784,    2.515360
   0.205861,    2.604643
   0.219760,    2.689326
   0.234576,    2.765701
   0.250383,    2.830960
   0.267181,    2.883185
   0.284876,    2.921341
   0.303511,    2.945286
   0.323157,    2.955763
   0.342494,    2.954250
   0.356738,    2.942748
