CL_e, CD_e
   0.112548,    0.385203
   0.108312,    0.477017
   0.104754,    0.568679
   0.101772,    0.660179
   0.099307,    0.751510
   0.097451,    0.842676
   0.096445,    0.933692
   0.096139,    1.024544
   0.096470,    1.115225
   0.097451,    1.206105
   0.099148,    1.296513
   0.101626,    1.386754
   0.104903,    1.476831
   0.108915,    1.566735
   0.113662,    1.656467
   0.119139,    1.746022
   0.125431,    1.835408
   0.132620,    1.924629
   0.140625,    2.013678
   0.149390,    2.102550
   0.158965,    2.191248
   0.169389,    2.279775
   0.180745,    2.368136
   0.193007,    2.456328
   0.206120,    2.543624
   0.220060,    2.626441
   0.234923,    2.701155
   0.250788,    2.765018
   0.267681,    2.816153
   0.285550,    2.853544
   0.305262,    2.877048
