CL_e, CD_e
   0.112648,    0.385017
   0.108046,    0.485941
   0.104107,    0.586669
   0.101015,    0.687211
   0.098597,    0.787550
   0.096923,    0.887688
   0.096083,    0.987629
   0.096234,    1.087381
   0.097223,    1.187286
   0.099046,    1.286700
   0.101745,    1.385910
   0.105347,    1.484915
   0.109781,    1.583707
   0.115137,    1.682291
   0.121544,    1.780675
   0.128976,    1.878857
   0.137352,    1.976827
   0.146721,    2.074590
   0.157060,    2.172142
   0.168402,    2.269484
   0.180754,    2.366617
   0.194207,    2.463546
   0.208792,    2.559021
   0.224486,    2.648144
   0.241289,    2.726375
   0.259212,    2.790461
   0.278288,    2.838426
   0.299526,    2.869564
   0.320812,    2.884431
