CL_e, CD_e
   0.112548,    0.385037
   0.108312,    0.476799
   0.104754,    0.568408
   0.101772,    0.659856
   0.099307,    0.751134
   0.097451,    0.842247
   0.096445,    0.933209
   0.096140,    1.024008
   0.096472,    1.114636
   0.097453,    1.205462
   0.099150,    1.295815
   0.101628,    1.386003
   0.104905,    1.476025
   0.108918,    1.565876
   0.113665,    1.655553
   0.119142,    1.745054
   0.125437,    1.834386
   0.132626,    1.923552
   0.140632,    2.012548
   0.149397,    2.101366
   0.158972,    2.190010
   0.169397,    2.278482
   0.180755,    2.366789
   0.193021,    2.454928
   0.206134,    2.542171
   0.220074,    2.624938
   0.234937,    2.699606
   0.250812,    2.763430
   0.267706,    2.814533
   0.285653,    2.851900
   0.305262,    2.875388
