CLh_e, CDh_e
  -0.500870,    0.006513
  -0.449340,    0.006330
  -0.398664,    0.006171
  -0.348844,    0.006026
  -0.299891,    0.005908
  -0.251736,    0.005801
  -0.204385,    0.005724
  -0.157891,    0.005655
  -0.110268,    0.005618
  -0.065095,    0.005587
  -0.020768,    0.005591
   0.022768,    0.005599
   0.065454,    0.005641
   0.107270,    0.005701
   0.148212,    0.005806
   0.188300,    0.005916
   0.227606,    0.006054
   0.266080,    0.006198
   0.303695,    0.006367
   0.340452,    0.006543
   0.376363,    0.006741
   0.411434,    0.006948
   0.444198,    0.007190
   0.472636,    0.007484
   0.496896,    0.007968
   0.518869,    0.008542
   0.541590,    0.009285
   0.564046,    0.010202
   0.589598,    0.010815
