CLh_e, CDh_e
  -0.500640,    0.006484
  -0.453878,    0.006324
  -0.407818,    0.006178
  -0.362370,    0.006048
  -0.317607,    0.005934
  -0.273583,    0.005831
  -0.230272,    0.005748
  -0.187576,    0.005674
  -0.145586,    0.005634
  -0.102293,    0.005601
  -0.061374,    0.005588
  -0.021086,    0.005587
   0.018486,    0.005600
   0.057320,    0.005628
   0.095466,    0.005676
   0.132969,    0.005762
   0.169747,    0.005859
   0.205799,    0.005975
   0.241184,    0.006098
   0.275913,    0.006237
   0.309919,    0.006384
   0.343216,    0.006547
   0.375863,    0.006719
   0.407836,    0.006912
   0.438218,    0.007121
   0.465595,    0.007373
   0.489666,    0.007723
   0.511056,    0.008179
   0.531124,    0.008743
   0.551699,    0.009517
   0.571092,    0.010429
   0.590863,    0.011269
   0.616018,    0.011993
   0.648197,    0.012286
