CLh_e, CDh_e
  -0.607439,    0.006596
  -0.547888,    0.006404
  -0.489053,    0.006228
  -0.430850,    0.006070
  -0.373352,    0.005934
  -0.316616,    0.005831
  -0.260617,    0.005748
  -0.205259,    0.005674
  -0.150633,    0.005634
  -0.094685,    0.005601
  -0.041181,    0.005588
   0.011663,    0.005587
   0.063759,    0.005600
   0.115083,    0.005628
   0.165686,    0.005667
   0.215616,    0.005731
   0.264784,    0.005805
   0.313190,    0.005898
   0.360896,    0.005996
   0.407913,    0.006111
   0.454169,    0.006232
   0.499680,    0.006370
   0.544507,    0.006515
   0.588614,    0.006679
   0.630280,    0.006855
   0.666563,    0.007058
   0.696442,    0.007293
   0.720735,    0.007568
   0.741886,    0.007912
   0.763670,    0.008479
   0.786737,    0.009066
   0.816119,    0.009633
   0.861514,    0.010036
   0.929658,    0.010166
