CLh_e, CDh_e
  -0.338693,    0.006513
  -0.308538,    0.006330
  -0.279208,    0.006171
  -0.250699,    0.006026
  -0.223018,    0.005908
  -0.196091,    0.005801
  -0.169921,    0.005724
  -0.144561,    0.005655
  -0.118091,    0.005618
  -0.093959,    0.005587
  -0.070618,    0.005669
  -0.048013,    0.005756
  -0.026200,    0.005878
  -0.005197,    0.006006
   0.014996,    0.006226
   0.034397,    0.006478
   0.053073,    0.006756
   0.070977,    0.007042
   0.088087,    0.007416
   0.104404,    0.007839
   0.119939,    0.008286
   0.134751,    0.008743
   0.149506,    0.009403
   0.165547,    0.010149
   0.183789,    0.011525
   0.204124,    0.017014
   0.224928,    0.017880
