CLh_e, CDh_e
  -0.501171,    0.006510
  -0.454291,    0.006342
  -0.408129,    0.006188
  -0.362584,    0.006057
  -0.317722,    0.005939
  -0.273605,    0.005844
  -0.230213,    0.005759
  -0.187438,    0.005697
  -0.145372,    0.005642
  -0.101981,    0.005612
  -0.060984,    0.005587
  -0.020624,    0.005588
   0.019012,    0.005594
   0.057907,    0.005633
   0.096121,    0.005682
   0.133680,    0.005772
   0.170504,    0.005866
   0.206604,    0.005982
   0.242048,    0.006103
   0.276817,    0.006243
   0.310854,    0.006390
   0.344196,    0.006555
   0.376896,    0.006727
   0.408892,    0.006921
   0.439109,    0.007132
   0.465910,    0.007396
   0.489087,    0.007775
   0.509647,    0.008268
   0.529586,    0.008855
   0.550458,    0.009624
   0.570929,    0.010392
   0.595917,    0.010898
