CLh_e, CDh_e
  -0.607509,    0.006610
  -0.541924,    0.006394
  -0.477212,    0.006203
  -0.413378,    0.006029
  -0.350439,    0.005908
  -0.288325,    0.005801
  -0.227046,    0.005724
  -0.166657,    0.005655
  -0.105124,    0.005618
  -0.046115,    0.005587
   0.012010,    0.005591
   0.069309,    0.005599
   0.125721,    0.005641
   0.181221,    0.005688
   0.235807,    0.005768
   0.289497,    0.005853
   0.342369,    0.005964
   0.394368,    0.006082
   0.445467,    0.006223
   0.495664,    0.006370
   0.544972,    0.006538
   0.593366,    0.006714
   0.637972,    0.006916
   0.674560,    0.007147
   0.702778,    0.007440
   0.725827,    0.007781
   0.749809,    0.008345
   0.777934,    0.008934
   0.819834,    0.009331
