CLh_e, CDh_e
  -0.340731,    0.006484
  -0.313118,    0.006324
  -0.286185,    0.006178
  -0.259835,    0.006048
  -0.234140,    0.005934
  -0.209150,    0.005831
  -0.184837,    0.005748
  -0.161101,    0.005674
  -0.138029,    0.005634
  -0.113685,    0.005601
  -0.091609,    0.005599
  -0.070121,    0.005669
  -0.049302,    0.005753
  -0.029169,    0.005853
  -0.009675,    0.005964
   0.009223,    0.006132
   0.027448,    0.006356
   0.045002,    0.006600
   0.061939,    0.006850
   0.078269,    0.007118
   0.093933,    0.007475
   0.108943,    0.007862
   0.123353,    0.008259
   0.137159,    0.008678
   0.150643,    0.009240
   0.164685,    0.009901
   0.180059,    0.010634
   0.197103,    0.013980
   0.215550,    0.017564
