CLh_e, CDh_e
  -0.608404,    0.006613
  -0.542701,    0.006396
  -0.477871,    0.006205
  -0.413920,    0.006031
  -0.350863,    0.005908
  -0.288633,    0.005801
  -0.227236,    0.005724
  -0.166730,    0.005655
  -0.105081,    0.005618
  -0.045956,    0.005587
   0.012285,    0.005591
   0.069700,    0.005599
   0.126226,    0.005641
   0.181842,    0.005688
   0.236542,    0.005768
   0.290347,    0.005853
   0.343333,    0.005964
   0.395445,    0.006082
   0.446657,    0.006223
   0.496967,    0.006370
   0.546388,    0.006538
   0.594893,    0.006714
   0.639598,    0.006916
   0.676256,    0.007147
   0.704507,    0.007440
   0.727564,    0.007781
   0.751557,    0.008341
   0.779730,    0.008930
   0.821768,    0.009326
