CLh_e, CDh_e
  -0.309757,    0.006513
  -0.284148,    0.006330
  -0.259209,    0.006171
  -0.234942,    0.006026
  -0.211357,    0.005908
  -0.188395,    0.005801
  -0.166062,    0.005724
  -0.144404,    0.005655
  -0.121516,    0.005618
  -0.100823,    0.005605
  -0.080795,    0.005697
  -0.061390,    0.005792
  -0.042653,    0.005922
  -0.024602,    0.006089
  -0.007237,    0.006349
   0.009455,    0.006615
   0.025529,    0.006908
   0.040945,    0.007268
   0.055685,    0.007703
   0.069746,    0.008146
   0.083140,    0.008620
   0.095922,    0.009285
   0.108968,    0.009990
   0.123901,    0.011263
   0.141603,    0.016535
   0.161683,    0.017441
