CLh_e, CDh_e
  -0.339265,    0.006513
  -0.309034,    0.006330
  -0.279629,    0.006171
  -0.251045,    0.006026
  -0.223289,    0.005908
  -0.196287,    0.005801
  -0.170043,    0.005724
  -0.144608,    0.005655
  -0.118063,    0.005618
  -0.093858,    0.005587
  -0.070442,    0.005669
  -0.047764,    0.005755
  -0.025877,    0.005877
  -0.004800,    0.006005
   0.015466,    0.006224
   0.034940,    0.006475
   0.053688,    0.006753
   0.071665,    0.007038
   0.088848,    0.007409
   0.105236,    0.007831
   0.120843,    0.008278
   0.135726,    0.008734
   0.150545,    0.009388
   0.166629,    0.010133
   0.184892,    0.011460
   0.205234,    0.016920
   0.226044,    0.017880
