eta, Cm
   0.000000,    0.044372
   0.020408,    0.042920
   0.040816,    0.041612
   0.061224,    0.040261
   0.081633,    0.038856
   0.102041,    0.037390
   0.122449,    0.035859
   0.142857,    0.034261
   0.163265,    0.032594
   0.183673,    0.030856
   0.204082,    0.029048
   0.224490,    0.027168
   0.244898,    0.025217
   0.265306,    0.023194
   0.285714,    0.021100
   0.306122,    0.018936
   0.326531,    0.016701
   0.346939,    0.014397
   0.367347,    0.012025
   0.387755,    0.009586
   0.408163,    0.007082
   0.428571,    0.004515
   0.448980,    0.001887
   0.469388,   -0.000800
   0.489796,   -0.003540
   0.510204,   -0.006331
   0.530612,   -0.009168
   0.551020,   -0.012044
   0.571429,   -0.014952
   0.591837,   -0.017885
   0.612245,   -0.020831
   0.632653,   -0.023781
   0.653061,   -0.026718
   0.673469,   -0.029628
   0.693878,   -0.032490
   0.714286,   -0.035280
   0.734694,   -0.037970
   0.755102,   -0.040526
   0.775510,   -0.042905
   0.795918,   -0.045058
   0.816327,   -0.046923
   0.836735,   -0.048420
   0.857143,   -0.049452
   0.877551,   -0.049891
   0.897959,   -0.049564
   0.918367,   -0.048224
   0.938776,   -0.045494
   0.959184,   -0.040711
   0.979592,   -0.032393
   1.000000,    0.000000
