eta, D
   0.000000,  247.863146
   0.020408,  246.037689
   0.040816,  244.226816
   0.061224,  242.416398
   0.081633,  240.605884
   0.102041,  238.795048
   0.122449,  236.983776
   0.142857,  235.171999
   0.163265,  233.359674
   0.183673,  231.546772
   0.204082,  229.733273
   0.224490,  227.919160
   0.244898,  226.104421
   0.265306,  224.289044
   0.285714,  222.473017
   0.306122,  220.656328
   0.326531,  218.847486
   0.346939,  217.049783
   0.367347,  215.249162
   0.387755,  213.445533
   0.408163,  211.638798
   0.428571,  209.828844
   0.448980,  208.015544
   0.469388,  206.198758
   0.489796,  204.378349
   0.510204,  202.553991
   0.530612,  200.725448
   0.551020,  198.892613
   0.571429,  197.055177
   0.591837,  195.212818
   0.612245,  193.365167
   0.632653,  191.511808
   0.653061,  189.652263
   0.673469,  187.811719
   0.693878,  185.975488
   0.714286,  184.137336
   0.734694,  182.297063
   0.755102,  180.454436
   0.775510,  178.609179
   0.795918,  176.760969
   0.816327,  174.909412
   0.836735,  173.054035
   0.857143,  171.194251
   0.877551,  169.329331
   0.897959,  167.458361
   0.918367,  165.580248
   0.938776,  163.694075
   0.959184,  161.802342
   0.979592,  159.968331
   1.000000,  157.625678
